Year,Disaster Type,Disaster Subtype,Event Name,Country,ISO,Region,Continent,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
1988,Volcanic activity,Ash fall,Nevado Del Ruiz,Colombia,COL,South America,Americas,,,1988,3,25,1988,3,25,,,1900,,1900,,,40.40880605
1980,Volcanic activity,Ash fall,Gamalama,Indonesia,IDN,South-Eastern Asia,Asia,,,1980,9,4,1980,9,4,,,52235,,52235,,,28.15888663
1982,Volcanic activity,Ash fall,Mt. Soputan,Indonesia,IDN,South-Eastern Asia,Asia,,,1982,8,26,1982,8,26,,,30000,,30000,,,32.97399781
1983,Volcanic activity,Ash fall,Mt. Gamkunoro,Indonesia,IDN,South-Eastern Asia,Asia,,,1983,6,28,1983,6,28,,,2500,,2500,,,34.03326363
1983,Volcanic activity,Ash fall,,Iceland,ISL,Northern Europe,Europe,,,1983,5,29,1983,5,29,,,,,,,,34.03326363
1983,Volcanic activity,Ash fall,Mount Oyama,Japan,JPN,Eastern Asia,Asia,,,1983,10,3,1983,10,3,,,4500,1100,5600,,,34.03326363
1983,Volcanic activity,Ash fall,Rabaul,Papua New Guinea,PNG,Melanesia,Oceania,-4.271,152.203,1983,10,15,1983,10,15,,,25000,,25000,,,34.03326363
1984,Volcanic activity,Ash fall,Mt. Soputan,Indonesia,IDN,South-Eastern Asia,Asia,,,1984,5,25,1984,5,25,,,6000,,6000,,,35.49688113
1984,Volcanic activity,Ash fall,Mt. Karangetan,Indonesia,IDN,South-Eastern Asia,Asia,,,1984,9,5,1984,9,5,,,17000,,17000,,,35.49688113
1984,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,,,1984,6,15,1984,6,15,,,5000,,5000,,,35.49688113
1984,Volcanic activity,Ash fall,Mount Krafla,Iceland,ISL,Northern Europe,Europe,,,1984,9,5,1984,9,5,,,,,,,,35.49688113
1984,Volcanic activity,Ash fall,Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,,,1984,9,10,1984,9,10,,,70000,,70000,,,35.49688113
1985,Volcanic activity,Ash fall,Mt. Sangeang,Indonesia,IDN,South-Eastern Asia,Asia,,,1985,7,30,1985,7,30,,,1078,,1078,,,36.75546794
1986,Volcanic activity,Ash fall,Mount Mihara,Japan,JPN,Eastern Asia,Asia,,,1986,11,21,1986,11,21,,,13000,,13000,,,37.45311166
1987,Volcanic activity,Ash fall,Mt. Mandosawu,Indonesia,IDN,South-Eastern Asia,Asia,,,1987,12,28,1987,12,28,,,13000,,13000,,,38.82560081
1988,Volcanic activity,Ash fall,Mt. Kiebessy,Indonesia,IDN,South-Eastern Asia,Asia,,,1988,7,17,1988,7,17,,,1570,,1570,,,40.40880605
1991,Volcanic activity,Ash fall,Mt Hudson,Argentina,ARG,South America,Americas,45.54 S,72.58 W,1991,8,13,1991,8,13,,,62000,1200,63200,,,46.53662061
1991,Volcanic activity,Ash fall,Kartala,Comoros (the),COM,Eastern Africa,Africa,,,1991,7,3,1991,7,3,,,,200,200,,,46.53662061
1991,Volcanic activity,Ash fall,Pacaya,Costa Rica,CRI,Central America,Americas,14.40 N,90.60 W,1991,8,8,1991,8,8,,,,,,,,46.53662061
1989,Volcanic activity,Ash fall,Mt. Soputan,Indonesia,IDN,South-Eastern Asia,Asia,,,1989,4,23,1989,4,23,,,3000,,3000,,,42.35934309
1990,Volcanic activity,Ash fall,Sabancayo,Peru,PER,South America,Americas,15.78 S,71.85 W,1990,6,4,1990,6,4,,,4000,,4000,,,44.64587744
1991,Volcanic activity,Ash fall,Mt. Etna,Italy,ITA,Southern Europe,Europe,37.734,15.004,1991,12,15,1991,12,15,,,7000,,7000,,,46.53662061
1991,Volcanic activity,Ash fall,Poon Bato,Philippines (the),PHL,South-Eastern Asia,Asia,,,1991,4,5,1991,4,5,,,,2000,2000,,,46.53662061
1991,Volcanic activity,Ash fall,Taal,Philippines (the),PHL,South-Eastern Asia,Asia,14 N,121 E,1991,4,,1991,4,,,,,3800,3800,,,46.53662061
1992,Volcanic activity,Ash fall,Pacaya,Guatemala,GTM,Central America,Americas,14.40 N,90.60 W,1992,1,8,1992,1,8,,,5000,,5000,,,47.94612964
